NAME	MMS AN non-treated	MMS AO Non-treated	MMS AP Non-treated	MMS AR non-irradiated	MMS BA Non- treated  4x44K	MMS BB Non- treated 4x44K	MMS BC1 4x44K (w/o ORGANOIDS digestion)	MMS BE (without organoids)	MMS BF (without organoids)	MMS BL*	MMS E 08/05-08/19	MMS H1 Intact	MMS X Intact Exp1	MMS Z
subtype	not	not	not	not	not	not	CL	CL	not	not	CL	CL	CL	CL
1	-0.238	0.685	0.478	0.365	0.291	0.254	0.472	-0.563	0.08	0.705	0.398	0.352	0.314	-0.162
10	-0.136	-0.41	-0.74	0.3662	-0.227	-0.047	0.163	0.013	0.113	-0.277	-0.729	-0.107	-0.012	-1.059
100	0.369	1.139	0.66	0.197	1.012	0.623	0.776	0.641	-0.349	0.277	0.893	0.417	1.42	1.655
1000	1.5405	1.6605	1.9985	1.3395	1.3695	0.8195	0.3495	0.1495	0.8095	0.1395	1.1365	0.8995	0.4525	-0.7555
10000	-0.266	1.181	0.835	0.794	1.137	0.893	0.76	0.112	-0.01	1.624	1.065	0.35	0.035	0.192
10001	-0.2315	-0.0565	-0.0315	0.4245	-1.0995	-0.1115	-0.0175	0.2955	0.6575	0.1405	0.4945	0.2095	-0.3605	0.0295
10002	-0.446	-0.256	-0.032	0.25	-0.56	-0.453	-0.404	-0.398	-0.29	-2.165	-0.994	-0.625	-0.696	-1.924
10003	0.189428571	-0.127571429	-0.131	0.705	0.34	0.322	0.836	0.236	0.409	-0.315	0.3755	0.109	-0.008	-0.768
10004	0.206	-0.398	-0.487	0.1915	-0.04	0.102	0.112	0.41	0.156	0.36	1.084	0.841	0.165	1.275
10005	0.1335	0.2505	0.5415	0.2405	0.0155	0.3395	0.5775	0.3855	0.3565	0.5075	1.3025	0.6035	-0.0635	1.0275
10006	0.3205	0.1445	0.1745	0.4665	0.4825	-0.0205	-0.6385	0.1965	0.2035	-0.1495	-1.2135	0.0185	0.1145	-1.2965
10007	-0.0555625	0.0006875	-0.195375	-1.2146875	-2.6596875	-1.7526875	-0.4426875	0.6223125	0.1543125	-0.7286875	0.00825	0.3693125	0.5213125	0.3113125
10008	-0.346642857	0.1495	0.0885	0.4045	-0.0965	0.3225	0.0805	0.0835	-0.2535	0.6235	0.065642857	-0.1645	0.2565	0.8585
10009	0.754652778	0.551652778	-0.134632937	1.126652778	0.037652778	0.057652778	-0.054347222	-0.405347222	-0.175347222	-0.599347222	0.602652778	0.357652778	0.357652778	0.113652778
1001	3.4185	3.3825	3.3855	3.0145	3.5745	3.1145	-0.5655	-2.8055	2.9445	2.5245	-1.0505	0.7145	-2.4635	-1.5405
10010	0.559	0.157	0.772	1.023	1.023	0.413	-0.066	-0.394	0.42	0.424	0.23	-0.42	0.302	-0.235
100101467	-1.309833333	-0.1495	-0.375166667	-0.6105	-1.2155	-1.3865	-0.5995	-0.0955	0.4965	-1.8835	0.822833333	-1.3965	-0.9085	-0.5275
10011	0.21	1.053	0.469	0.444	0.292	0.454	0.427	-0.044	0.305	0.656	1.113	0.546	-0.025	0.988
100127886	-0.1895	-0.3295	-0.5365	0.3745	-1.6905	0.2435	-0.0615	0.0525	0.6015	0.2745	-0.0325	-0.0025	-0.1095	-0.8045
100127894|57536|440258	-0.858083333	-0.685583333	-0.404916667	-1.293916667	-2.169916667	-2.168916667	-1.190916667	-0.621916667	-0.081916667	-1.965916667	0.634083333	-1.944916667	-1.114916667	-0.357916667
100128178	1.5565	1.6355	0.8365	1.7335	3.4555	2.4015	2.3795	3.5215	3.4755	3.3695	2.6135	1.9865	1.6165	2.3305
