""	"ROR.S"	"DWD"	"NNET"	"Ridge"	"SVMl"	"SVMr"	"SVMp"	"KNN"	"LDA"	"Lasso"	"NTP"	"Centroid"	"CART"	"Naive Bayes"
"ROR.S"	1	0.812195497028636	0.99633044756565	0.00606622546297695	0.621333416976882	0.581810929882306	0.581810929882306	0.0438462423140458	0.154843279567688	0.00642503617445584	0.393906225271124	0.56039663724674	0.196167698396968	0.813463453785577
"DWD"	0.812195497028636	1	0.947051219137346	0.00115317617781712	0.338749815823823	0.337247962652215	0.337247962652215	0.0318243345561267	0.119630914189141	0.00395390093184574	0.156267891256717	0.274221372986021	0.177728312128854	0.469840109659869
"NNET"	0.99633044756565	0.947051219137346	1	0.253043749136222	0.883647324966854	0.862955861589823	0.862955861589823	0.457239689098039	0.651448225796598	0.254895104016905	0.802912548465076	0.866099617276103	0.677030461124426	0.947392782147475
"Ridge"	0.00606622546297695	0.00115317617781712	0.253043749136222	1	0.00018161574177425	0.000559311257413861	0.000559311257413861	0.0831537383628126	0.00514984441142862	0.992156707130997	8.44911263801318e-05	0.000116777189369950	0.00772478483901014	0.00156412663158762
"SVMl"	0.621333416976882	0.338749815823823	0.883647324966854	0.00018161574177425	1	0.900674447371595	0.900674447371595	0.0103796505273682	0.0206789964743095	0.00196646587122593	0.550667959934894	0.89845929031004	0.0395194999460758	0.567786912627407
"SVMr"	0.581810929882306	0.337247962652215	0.862955861589823	0.000559311257413861	0.900674447371595	1	1	0.0105513819350701	0.0289356012662506	0.00170834903659445	0.7116461401658	0.980205469126323	0.0458644659272485	0.56037863244164
"SVMp"	0.581810929882306	0.337247962652215	0.862955861589823	0.000559311257413861	0.900674447371595	1	1	0.0105513819350701	0.0289356012662506	0.00170834903659445	0.7116461401658	0.980205469126323	0.0458644659272485	0.56037863244164
"KNN"	0.0438462423140458	0.0318243345561267	0.457239689098039	0.0831537383628126	0.0103796505273682	0.0105513819350701	0.0105513819350701	1	0.238698095463914	0.130194250428012	0.00732356098866735	0.00987660726227716	0.218044515947304	0.0233362351952048
"LDA"	0.154843279567688	0.119630914189141	0.651448225796598	0.00514984441142862	0.0206789964743095	0.0289356012662506	0.0289356012662506	0.238698095463914	1	0.0196388806115685	0.0091671736376389	0.0153173144581721	0.878899081394928	0.0368880297209855
"Lasso"	0.00642503617445584	0.00395390093184574	0.254895104016905	0.992156707130997	0.00196646587122593	0.00170834903659445	0.00170834903659445	0.130194250428012	0.0196388806115685	1	0.00181041542402362	0.00218634588827908	0.0189029461310971	0.00717188803857465
"NTP"	0.393906225271124	0.156267891256717	0.802912548465076	8.44911263801318e-05	0.550667959934894	0.7116461401658	0.7116461401658	0.00732356098866735	0.0091671736376389	0.00181041542402362	1	0.603937510928086	0.0202522757831724	0.173722531225810
"Centroid"	0.56039663724674	0.274221372986021	0.866099617276103	0.000116777189369950	0.89845929031004	0.980205469126323	0.980205469126323	0.00987660726227716	0.0153173144581721	0.00218634588827908	0.603937510928086	1	0.0320893312574395	0.406574636349150
"CART"	0.196167698396968	0.177728312128854	0.677030461124426	0.00772478483901014	0.0395194999460758	0.0458644659272485	0.0458644659272485	0.218044515947304	0.878899081394928	0.0189029461310971	0.0202522757831724	0.0320893312574395	1	0.06445147549492
"Naive Bayes"	0.813463453785577	0.469840109659869	0.947392782147475	0.00156412663158762	0.567786912627407	0.56037863244164	0.56037863244164	0.0233362351952048	0.0368880297209855	0.00717188803857465	0.173722531225810	0.406574636349150	0.06445147549492	NA
