cellType	gene
aDC_HPCA_1	C1QA
aDC_HPCA_1	C1QB
aDC_HPCA_1	CD80
aDC_HPCA_1	IL12B
aDC_HPCA_1	CCL13
aDC_HPCA_1	CCL17
aDC_HPCA_1	CCL19
aDC_HPCA_1	CCL22
aDC_HPCA_2	C1QA
aDC_HPCA_2	C1QB
aDC_HPCA_2	CD80
aDC_HPCA_2	FPR3
aDC_HPCA_2	HLA-DQA1
aDC_HPCA_2	IL12B
aDC_HPCA_2	CCL13
aDC_HPCA_2	CCL17
aDC_HPCA_2	CCL19
aDC_HPCA_2	CCL22
aDC_HPCA_3	C1QA
aDC_HPCA_3	C1QB
aDC_HPCA_3	CD80
aDC_HPCA_3	FPR3
aDC_HPCA_3	HLA-DQA1
aDC_HPCA_3	IL12B
aDC_HPCA_3	CCL13
aDC_HPCA_3	CCL17
aDC_HPCA_3	CCL19
aDC_HPCA_3	CCL22
aDC_IRIS_1	CD80
aDC_IRIS_1	IL3RA
aDC_IRIS_1	IL12B
aDC_IRIS_1	CXCL9
aDC_IRIS_1	PTGIR
aDC_IRIS_1	CCL8
aDC_IRIS_1	CCL13
aDC_IRIS_1	CCL17
aDC_IRIS_1	CCL19
aDC_IRIS_1	CCL23
aDC_IRIS_1	SLAMF1
aDC_IRIS_1	SIGLEC1
aDC_IRIS_1	TRAF1
aDC_IRIS_1	TNFRSF4
aDC_IRIS_1	TXN
aDC_IRIS_1	SOCS3
aDC_IRIS_1	HS3ST3B1
aDC_IRIS_1	CD209
aDC_IRIS_1	LILRA5
aDC_IRIS_2	ACHE
aDC_IRIS_2	ADPRH
aDC_IRIS_2	ALOX15B
aDC_IRIS_2	ANXA5
aDC_IRIS_2	XIAP
aDC_IRIS_2	ARF3
aDC_IRIS_2	RHOG
aDC_IRIS_2	ATP1B3
aDC_IRIS_2	BLVRA
aDC_IRIS_2	C1QA
aDC_IRIS_2	C1QB
aDC_IRIS_2	C3AR1
aDC_IRIS_2	CASP5
aDC_IRIS_2	CD80
aDC_IRIS_2	CD86
aDC_IRIS_2	CCR5
aDC_IRIS_2	CMKLR1
aDC_IRIS_2	EIF5
aDC_IRIS_2	ENO1
aDC_IRIS_2	ETV3
aDC_IRIS_2	FCER1G
aDC_IRIS_2	FCER2
aDC_IRIS_2	FPR3
aDC_IRIS_2	GMFB
aDC_IRIS_2	GNG5
aDC_IRIS_2	GRB2
aDC_IRIS_2	RAPGEF1
aDC_IRIS_2	HCK
aDC_IRIS_2	HLA-DQA1
aDC_IRIS_2	HRH2
aDC_IRIS_2	DNAJA1
aDC_IRIS_2	IL2RA
aDC_IRIS_2	IL3RA
aDC_IRIS_2	IL9
aDC_IRIS_2	IL10
aDC_IRIS_2	IL10RA
aDC_IRIS_2	IL12B
aDC_IRIS_2	IMPDH1
aDC_IRIS_2	IRF4
aDC_IRIS_2	KCNMB1
aDC_IRIS_2	LAIR1
aDC_IRIS_2	LOR
aDC_IRIS_2	RAB8A
aDC_IRIS_2	CXCL9
aDC_IRIS_2	MTF1
aDC_IRIS_2	NFE2L2
aDC_IRIS_2	NFKB1
aDC_IRIS_2	NFKBIB
aDC_IRIS_2	NRAS
aDC_IRIS_2	OSM
aDC_IRIS_2	P2RX7
aDC_IRIS_2	PAK2
aDC_IRIS_2	PGK1
aDC_IRIS_2	PITPNA
aDC_IRIS_2	MAP2K1
aDC_IRIS_2	PTGIR
aDC_IRIS_2	RAB5A
aDC_IRIS_2	RELA
aDC_IRIS_2	CLIP1
aDC_IRIS_2	S100A10
aDC_IRIS_2	CCL1
aDC_IRIS_2	CCL4
aDC_IRIS_2	CCL7
aDC_IRIS_2	CCL8
aDC_IRIS_2	CCL17
aDC_IRIS_2	CCL18
aDC_IRIS_2	CCL19
aDC_IRIS_2	CCL22
aDC_IRIS_2	CCL23
aDC_IRIS_2	CCL24
aDC_IRIS_2	SLAMF1
aDC_IRIS_2	SLC1A2
aDC_IRIS_2	SLC6A12
aDC_IRIS_2	SIGLEC1
aDC_IRIS_2	SRC
aDC_IRIS_2	STAT2
aDC_IRIS_2	TCF21
aDC_IRIS_2	DYNLT1
aDC_IRIS_2	TPI1
aDC_IRIS_2	TRAF1
aDC_IRIS_2	TNFRSF4
aDC_IRIS_2	TXN
aDC_IRIS_2	VRK2
aDC_IRIS_2	XPNPEP1
aDC_IRIS_2	ZBTB17
aDC_IRIS_2	CUL1
aDC_IRIS_2	RRP1
aDC_IRIS_2	SCARF1
aDC_IRIS_2	ALDH1A2
aDC_IRIS_2	TAX1BP1
aDC_IRIS_2	SOCS3
aDC_IRIS_2	SPAG9
aDC_IRIS_2	TMSB10
aDC_IRIS_2	MAP3K13
aDC_IRIS_2	TRIP4
aDC_IRIS_2	H6PD
aDC_IRIS_2	WTAP
aDC_IRIS_2	ARHGEF11
aDC_IRIS_2	TMCC2
aDC_IRIS_2	HS3ST3B1
aDC_IRIS_2	ABI1
aDC_IRIS_2	BCL2L11
aDC_IRIS_2	ARPC4
aDC_IRIS_2	ARFRP1
aDC_IRIS_2	RAMP3
aDC_IRIS_2	LILRB2
aDC_IRIS_2	BCKDK
aDC_IRIS_2	CXCL13
aDC_IRIS_2	EXOC5
aDC_IRIS_2	MTHFD2
aDC_IRIS_2	SEC24A
aDC_IRIS_2	NEU3
aDC_IRIS_2	LILRB1
aDC_IRIS_2	CD300C
aDC_IRIS_2	LILRB5
aDC_IRIS_2	RAB35
aDC_IRIS_2	OGFR
aDC_IRIS_2	HPS5
aDC_IRIS_2	TREX1
aDC_IRIS_2	TFEC
aDC_IRIS_2	RAB21
aDC_IRIS_2	KDM6B
aDC_IRIS_2	FAM175B
aDC_IRIS_2	MGRN1
aDC_IRIS_2	TDRD7
aDC_IRIS_2	ABCA6
aDC_IRIS_2	DNPEP
aDC_IRIS_2	ACOT9
aDC_IRIS_2	NUP62
aDC_IRIS_2	BCL2L13
aDC_IRIS_2	FBXL4
aDC_IRIS_2	SIGLEC7
aDC_IRIS_2	CYTH4
aDC_IRIS_2	SIGLEC9
aDC_IRIS_2	TOR1B
aDC_IRIS_2	GPR132
aDC_IRIS_2	IL19
aDC_IRIS_2	CD209
aDC_IRIS_2	ANKFY1
aDC_IRIS_2	AZIN1
aDC_IRIS_2	RIN2
aDC_IRIS_2	TBC1D13
aDC_IRIS_2	GPN2
aDC_IRIS_2	C1orf27
aDC_IRIS_2	ARL8B
aDC_IRIS_2	ZNF654
aDC_IRIS_2	TBC1D22B
aDC_IRIS_2	MFN1
aDC_IRIS_2	SCYL2
aDC_IRIS_2	CHFR
aDC_IRIS_2	KCNK13
aDC_IRIS_2	C5orf15
aDC_IRIS_2	RPGRIP1
aDC_IRIS_2	CAMK1G
aDC_IRIS_2	DENND1A
aDC_IRIS_2	GPR107
aDC_IRIS_2	HAMP
aDC_IRIS_2	MIIP
aDC_IRIS_2	NSUN3
aDC_IRIS_2	MMP25
aDC_IRIS_2	UBE2Z
aDC_IRIS_2	TNIP2
aDC_IRIS_2	OPA3
aDC_IRIS_2	TMX1
aDC_IRIS_2	SLCO5A1
aDC_IRIS_2	NETO2
aDC_IRIS_2	MED25
aDC_IRIS_2	SLC25A28
aDC_IRIS_2	ADPGK
aDC_IRIS_2	MAGT1
aDC_IRIS_2	DOT1L
aDC_IRIS_2	LILRA5
aDC_IRIS_2	TMEM41B
aDC_IRIS_3	ACHE
aDC_IRIS_3	ALOX15B
aDC_IRIS_3	RHOG
aDC_IRIS_3	ATP1B3
aDC_IRIS_3	BLVRA
aDC_IRIS_3	C1QB
aDC_IRIS_3	CD80
aDC_IRIS_3	CD86
aDC_IRIS_3	EIF5
aDC_IRIS_3	ENO1
aDC_IRIS_3	ETV3
aDC_IRIS_3	GNG5
aDC_IRIS_3	RAPGEF1
aDC_IRIS_3	HCK
aDC_IRIS_3	IL2RA
aDC_IRIS_3	IL3RA
aDC_IRIS_3	IL9
aDC_IRIS_3	IL10
aDC_IRIS_3	IL10RA
aDC_IRIS_3	IL12B
aDC_IRIS_3	IRF4
aDC_IRIS_3	RAB8A
aDC_IRIS_3	CXCL9
aDC_IRIS_3	MTF1
aDC_IRIS_3	NFE2L2
aDC_IRIS_3	NFKB1
aDC_IRIS_3	P2RX7
aDC_IRIS_3	PGK1
aDC_IRIS_3	MAP2K1
aDC_IRIS_3	PTGIR
aDC_IRIS_3	RELA
aDC_IRIS_3	CLIP1
aDC_IRIS_3	CCL7
aDC_IRIS_3	CCL8
aDC_IRIS_3	CCL17
aDC_IRIS_3	CCL19
aDC_IRIS_3	CCL23
aDC_IRIS_3	SLAMF1
aDC_IRIS_3	SLC1A2
aDC_IRIS_3	SLC6A12
aDC_IRIS_3	SIGLEC1
aDC_IRIS_3	SRC
aDC_IRIS_3	STAT2
aDC_IRIS_3	TRAF1
aDC_IRIS_3	TNFRSF4
aDC_IRIS_3	TXN
aDC_IRIS_3	ZBTB17
aDC_IRIS_3	ELL
aDC_IRIS_3	CUL1
aDC_IRIS_3	ALDH1A2
aDC_IRIS_3	SOCS3
aDC_IRIS_3	SPAG9
aDC_IRIS_3	TMSB10
aDC_IRIS_3	MAP3K13
aDC_IRIS_3	WTAP
aDC_IRIS_3	N4BP1
aDC_IRIS_3	ARHGEF11
aDC_IRIS_3	HS3ST3B1
aDC_IRIS_3	ABI1
aDC_IRIS_3	ARPC4
aDC_IRIS_3	MTHFD2
aDC_IRIS_3	SEC24A
aDC_IRIS_3	NEU3
aDC_IRIS_3	OGFR
aDC_IRIS_3	TFEC
aDC_IRIS_3	FAM175B
aDC_IRIS_3	TDRD7
aDC_IRIS_3	ACOT9
aDC_IRIS_3	NUP62
aDC_IRIS_3	ABTB2
aDC_IRIS_3	TRPC4AP
aDC_IRIS_3	FBXL4
aDC_IRIS_3	CYTH4
aDC_IRIS_3	TOR1B
aDC_IRIS_3	SNX11
aDC_IRIS_3	GPR132
aDC_IRIS_3	IL19
aDC_IRIS_3	CD209
aDC_IRIS_3	CHMP5
aDC_IRIS_3	AZIN1
aDC_IRIS_3	C1orf27
aDC_IRIS_3	ARL8B
aDC_IRIS_3	ZNF654
aDC_IRIS_3	MFN1
aDC_IRIS_3	NECAP2
aDC_IRIS_3	CHFR
aDC_IRIS_3	C5orf15
aDC_IRIS_3	CAMK1G
aDC_IRIS_3	DENND1A
aDC_IRIS_3	GPR107
aDC_IRIS_3	MIIP
aDC_IRIS_3	NSUN3
aDC_IRIS_3	UBE2Z
aDC_IRIS_3	TNIP2
aDC_IRIS_3	SLCO5A1
aDC_IRIS_3	ADPGK
aDC_IRIS_3	DOT1L
aDC_IRIS_3	LILRA5
Adipocytes_ENCODE_1	ADH1B
Adipocytes_ENCODE_1	DLAT
Adipocytes_ENCODE_1	GPD1
Adipocytes_ENCODE_1	LBP
Adipocytes_ENCODE_1	PLIN1
Adipocytes_ENCODE_1	PPP1R1A
